X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,weather,sci,comm,nav,misc
2009-058A,36032,*+,NSS-12,SES,2009-10-29,FRGUI,NA,1436.1,0,35799,35775,7.9433,,0,0,1,0,0
2009-058B,36033,*+,THOR 6,NOR,2009-10-29,FRGUI,NA,1436.1,0,35794,35778,7.0794,,0,0,1,0,0
2009-059A,36036,M*+,SMOS,ESA,2009-11-02,PLMSC,NA,100,98.4,760,758,2.8692,,1,0,0,0,0
2009-059B,36037,M*+,PROBA-2,ESA,2009-11-02,PLMSC,NA,99.1,98.2,724,707,0.4420,,0,1,0,0,0
2009-061A,36088,*+,SJ-11-01,PRC,2009-11-12,JSC,NA,98.6,98,702,684,2.2800,,0,0,0,0,0
2009-063A,36095,*+,COSMOS 2455,CIS,2009-11-20,PLMSC,NA,103.1,67.2,910,900,12.1791,,0,0,0,0,0
2009-064A,36097,*+,INTELSAT 14 (IS-14),ITS,2009-11-23,AFETR,NA,1436.1,0,35798,35775,25.9029,,0,0,1,0,0
2009-065A,36101,M*+,EUTELSAT 36B,EUT,2009-11-24,TYMSC,NA,1436.1,0.1,35807,35768,12.5893,,0,0,1,0,0
2009-067A,36106,M*+,INTELSAT 15 (IS-15),ITS,2009-11-30,TYMSC,NA,1436.1,0,35797,35777,12.5893,,0,0,1,0,0
2009-068A,36108,M*+,WGS F3 (USA 211),US,2009-12-06,AFETR,NA,1436.1,0,35789,35784,10.0000,,0,0,1,0,0
2009-069A,36110,*+,YAOGAN 7,PRC,2009-12-09,JSC,NA,97.6,98.3,661,629,3.3259,,1,0,0,0,0
2009-070A,36111,M*+,COSMOS 2456 [GLONASS-M],CIS,2009-12-14,TYMSC,NA,675.7,64.2,19138,19121,5.0119,,0,0,0,1,0
2009-070B,36112,M*+,COSMOS 2457 [GLONASS-M],CIS,2009-12-14,TYMSC,NA,675.7,64.2,19145,19115,6.3096,,0,0,0,1,0
2009-071A,36119,*X,WISE,US,2009-12-14,AFWTR,NA,94.1,97.4,479,474,2.1209,,1,1,0,0,0
2009-072A,36121,*+,YAOGAN 8,PRC,2009-12-15,TAISC,NA,110.4,100.1,1259,1226,3.0250,,0,0,0,0,0
2009-072B,36122,M*P,XIWANG-1 (HOPE-1),PRC,2009-12-15,TAISC,NA,109.4,100.1,1205,1192,0.3075,,0,0,1,0,0
2009-075A,36131,*+,DIRECTV 12,US,2009-12-29,TYMSC,NA,1436.1,0,35789,35785,14.1132,,0,0,1,0,0
2010-001A,36287,*+,BEIDOU 3,PRC,2010-01-16,XICLF,NA,1436.1,1.4,35804,35768,79.4328,,0,0,1,1,0
2010-002A,36358,*+,RADUGA-1M 2,CIS,2010-01-28,TYMSC,NA,1436.1,0,35799,35773,39.8107,,0,0,1,0,0
2010-005A,36395,*+,SDO,US,2010-02-11,AFETR,NA,1436.1,29.9,35793,35779,5.1714,,0,1,1,0,0
2010-006A,36397,*+,INTELSAT 16 (IS-16),ITS,2010-02-12,TYMSC,NA,1436.1,0,35797,35778,266.9529,,0,0,1,0,0
2010-007A,36400,M*+,COSMOS 2459 [GLONASS-M],CIS,2010-03-01,TYMSC,NA,675.7,65.8,19190,19069,4.3792,,0,0,0,1,0
2010-007B,36401,M*+,COSMOS 2461 [GLONASS-M],CIS,2010-03-01,TYMSC,NA,675.7,65.8,19148,19112,3.9811,,0,0,0,1,0
2010-007C,36402,M*+,COSMOS 2460 [GLONASS-M],CIS,2010-03-01,TYMSC,NA,675.7,65.8,19135,19125,4.7754,,0,0,0,1,0
2010-008A,36411,*B,GOES 15,US,2010-03-04,AFETR,NA,1436.2,0.3,35799,35778,6.3096,,1,0,1,0,0
2010-009A,36413,*+,YAOGAN 9A,PRC,2010-03-05,JSC,NA,107.1,63.4,1332,848,2.7020,,0,0,0,0,0
2010-009B,36414,*+,YAOGAN 9B,PRC,2010-03-05,JSC,NA,107.1,63.4,1332,848,2.9125,,0,0,0,0,0
2010-009C,36415,*+,YAOGAN 9C,PRC,2010-03-05,JSC,NA,107.1,63.4,1333,847,2.6560,,0,0,0,0,0
2010-010A,36499,*+,ECHOSTAR 14,US,2010-03-20,TYMSC,NA,1436.1,0,35798,35775,46.2338,,0,0,1,0,0
2010-013A,36508,*+,CRYOSAT 2,ESA,2010-04-08,TYMSC,NA,99.2,92,723,714,2.5642,,0,1,0,0,0
2010-016A,36516,*+,SES-1,SES,2010-04-24,TYMSC,NA,1436.1,0,35797,35775,26.9753,,0,0,1,0,0
2010-017A,36519,*+,COSMOS 2463,CIS,2010-04-27,PLMSC,NA,105,83,1022,967,1.6976,,0,0,0,1,0
2010-021A,36581,*+,ASTRA 3B,SES,2010-05-21,FRGUI,NA,1436.1,0,35800,35774,8.1680,,0,0,1,0,0
2010-021B,36582,*+,COMSATBW-2,GER,2010-05-21,FRGUI,NA,1436.1,0.1,35795,35777,6.3096,,0,0,1,0,0
2010-022A,36585,M*+,NAVSTAR 65 (USA 213),US,2010-05-28,AFETR,NA,718,55.5,20402,19962,5.9608,,0,0,0,1,0
2010-025A,36592,M*+,BADR-5,AB,2010-06-03,TYMSC,NA,1436.1,0,35808,35765,15.8489,,0,0,1,0,0
2010-027A,36596,*+,SJ-12,PRC,2010-06-15,JSC,NA,96.2,97.6,587,568,3.2600,,0,0,0,0,0
2010-030A,36605,*+,TANDEM-X,GER,2010-06-21,TYMSC,NA,94.8,97.5,510,507,2.4870,,1,0,0,0,0
2010-032A,36744,M*+,COMS 1,SKO,2010-06-26,FRGUI,NA,1436.1,0,35793,35782,15.8489,,1,0,1,0,0
2010-032B,36745,*+,ARABSAT-5A,AB,2010-06-26,FRGUI,NA,1436,0.1,35797,35774,11.1427,,0,0,1,0,0
2010-034A,36792,*+,ECHOSTAR 15,US,2010-07-10,TYMSC,NA,1436.1,0,35796,35776,6.3096,,0,0,1,0,0
2010-035A,36795,*+,CARTOSAT-2B,IND,2010-07-12,SRILR,NA,97.4,98,644,623,2.2490,,1,0,1,0,0
2010-035C,36797,*+,AISSAT 1,NOR,2010-07-12,SRILR,NA,96.9,98.1,619,601,0.1090,,0,0,1,0,0
2010-035D,36798,*+,ALSAT 2A,ALG,2010-07-12,SRILR,NA,98.2,98,673,672,0.7940,,0,0,0,0,0
2010-035E,36799,*+,TISAT 1,SWT,2010-07-12,SRILR,NA,96.6,98.2,603,585,0.0530,,0,0,1,0,1
2010-036A,36828,*+,BEIDOU 5,PRC,2010-07-31,XICLF,NA,1436,54.2,36144,35424,31.6228,,0,0,0,1,0
2010-037A,36830,*+,NILESAT 201,EGY,2010-08-04,FRGUI,NA,1436.1,0.1,35804,35769,59.7633,,0,0,1,0,0
2010-037B,36831,*+,RASCOM-QAF 1R,RAS,2010-08-04,FRGUI,NA,1436.1,0,35810,35764,65.9677,,0,0,1,0,0
2010-038A,36834,*+,YAOGAN 10,PRC,2010-08-09,TAISC,NA,97.2,98,627,625,4.7950,,1,0,0,0,0
2010-039A,36868,*+,AEHF-1 (USA 214),US,2010-08-14,AFETR,NA,1436.1,2.2,35797,35777,7.9433,,0,0,1,0,0
2010-040A,36985,*+,TIANHUI 1,PRC,2010-08-24,JSC,NA,94.5,97.7,503,484,3.0110,,0,0,0,0,0
2010-041C,37139,M*+,COSMOS 2464 [GLONASS-M],CIS,2010-09-02,TYMSC,NA,675.7,64.3,19192,19068,5.0119,,0,0,0,1,0
2010-042A,37150,M*+,CHINASAT 6A (ZX 6A),PRC,2010-09-04,XICLF,NA,1436.1,0.1,35797,35777,63.0957,,0,0,1,0,0
2010-043A,37152,*+,COSMOS 2467,CIS,2010-09-08,PLMSC,NA,115.9,82.5,1496,1493,1.6540,,0,0,0,0,0
2010-043B,37153,*+,STRELA 3,CIS,2010-09-08,PLMSC,NA,116.1,82.5,1509,1498,0.9120,,0,0,0,0,0
2010-043C,37154,*+,COSMOS 2468,CIS,2010-09-08,PLMSC,NA,115.8,82.5,1502,1480,1.4530,,0,0,0,0,0
2010-045A,37158,*+,QZS-1 (MICHIBIKI-1),JPN,2010-09-11,TANSC,NA,1435.9,41.4,38934,32632,8.4139,,0,0,1,1,0
2010-047A,37165,*+,YAOGAN 11,PRC,2010-09-22,JSC,NA,97.5,98.3,668,613,3.3345,,0,0,0,0,0
2010-047B,37166,*+,ZHEDA PIXING 1B,PRC,2010-09-22,JSC,NA,97.2,97.7,643,610,0.1490,,0,0,0,0,0
2010-047C,37167,*+,ZHEDA PIXING 1C,PRC,2010-09-22,JSC,NA,97.3,97.7,643,611,0.1500,,0,0,0,0,0
2010-048A,37168,*+,SBSS (USA 216),US,2010-09-26,AFWTR,NA,97.2,97.9,626,623,3.8408,,0,0,0,0,0
2010-051A,37179,*+,SJ-6G,PRC,2010-10-06,TAISC,NA,96.4,97.7,597,576,1.1630,,0,0,0,0,0
2010-051B,37180,*+,SJ-6H,PRC,2010-10-06,TAISC,NA,96.4,97.7,597,579,2.4470,,0,0,0,0,0
2010-053A,37185,*+,XM-5,US,2010-10-14,TYMSC,NA,1436.1,0,35794,35779,12.6191,,0,0,1,0,0
2010-054A,37188,*+,GLOBALSTAR M079,GLO,2010-10-19,TYMSC,NA,114.1,52,1414,1413,4.8334,,0,0,1,0,0
2010-054B,37189,*+,GLOBALSTAR M074,GLO,2010-10-19,TYMSC,NA,114.1,52,1414,1413,4.8795,,0,0,1,0,0
2010-054C,37190,*+,GLOBALSTAR M076,GLO,2010-10-19,TYMSC,NA,114.1,52,1414,1413,4.5767,,0,0,1,0,0
2010-054D,37191,*+,GLOBALSTAR M077,GLO,2010-10-19,TYMSC,NA,114.1,52,1414,1413,4.7854,,0,0,1,0,0
2010-054E,37192,*+,GLOBALSTAR M075,GLO,2010-10-19,TYMSC,NA,114.1,52,1414,1413,4.7436,,0,0,1,0,0
2010-054F,37193,*+,GLOBALSTAR M073,GLO,2010-10-19,TYMSC,NA,114.1,52,1414,1413,4.6863,,0,0,1,0,0
2010-056A,37206,*P,EUTELSAT W3B,EUT,2010-10-28,FRGUI,NA,578.6,2.2,32987,256,14.9730,,0,0,0,0,0
2010-056B,37207,*+,BSAT-3B,JPN,2010-10-28,FRGUI,NA,1436.1,0,35800,35774,10.0000,,0,0,1,0,0
2010-057A,37210,*+,BEIDOU 6,PRC,2010-10-31,XICLF,NA,1436.1,0.8,35811,35762,19.9526,,0,0,1,1,0
2010-058A,37212,*+,MERIDIAN 3,CIS,2010-11-02,PLMSC,NA,717.8,63.6,38681,1675,27.9649,,0,0,0,0,0
2010-059A,37214,M*+,FENGYUN 3B,PRC,2010-11-04,TAISC,NA,101.7,99,851,827,6.2136,,1,0,1,0,0
2010-060A,37216,*+,COSMO-SKYMED 4,IT,2010-11-06,AFWTR,NA,97.2,97.9,624,622,4.4030,,1,0,0,0,0
2010-061A,37218,*+,SKYTERRA 1,US,2010-11-14,TYMSC,NA,1436.1,2.3,35802,35771,0.0030,,0,0,1,0,0
2010-064A,37234,M*+,ZHONGXING-20A,PRC,2010-11-24,XICLF,NA,1436.1,0.3,35803,35770,39.8107,,0,0,1,0,0
2010-065A,37237,*+,HYLAS 1,UK,2010-11-26,FRGUI,NA,1444.2,0,35991,35898,119.9526,,0,0,1,0,0
2010-065B,37238,*+,INTELSAT 17 (IS-17),ITS,2010-11-26,FRGUI,NA,1436.1,0,35797,35777,6.3096,,0,0,1,0,0
2010-068A,37256,*+,BEIDOU 7,PRC,2010-12-17,XICLF,NA,1435.9,51.9,36093,35473,21.5765,,0,0,0,1,0
2010-069A,37258,M*+,EUTELSAT KA-SAT 9A,EUT,2010-12-26,TYMSC,NA,1436.1,0.1,35800,35773,15.8489,,0,0,1,0,0
2010-070A,37264,*+,HISPASAT 30W-5,SPN,2010-12-29,FRGUI,NA,1436.1,0.1,35808,35765,7.0794,,0,0,1,0,0
2010-070B,37265,M*+,KOREASAT 6,SKO,2010-12-29,FRGUI,NA,1436.1,0,35794,35778,19.9526,,0,0,1,0,0
2011-009A,37372,M*P,COSMOS 2471 [GLONASS-K],CIS,2011-02-26,PLMSC,NA,675.7,65.8,19153,19105,7.9433,,1,0,0,0,0
2011-013A,37384,*+,BEIDOU 8,PRC,2011-04-09,XICLF,NA,1436.1,58.9,35977,35594,31.6228,,0,0,1,1,0
2011-015A,37387,*+,RESOURCESAT-2,IND,2011-04-20,SRILR,NA,101.3,98.7,823,817,5.5918,,1,0,0,0,0
2011-015B,37388,*+,YOUTHSAT,IND,2011-04-20,SRILR,NA,101.1,98.5,821,801,0.6880,,0,0,0,0,0
2011-015C,37389,*+,X-SAT,SIN,2011-04-20,SRILR,NA,101.1,98.5,820,801,0.4684,,0,1,0,0,0
2011-016A,37392,*+,INTELSAT NEW DAWN,ITS,2011-04-22,FRGUI,NA,1436.1,0,35789,35784,25.1189,,0,0,1,0,0
2011-016B,37393,*+,YAHSAT 1A,UAE,2011-04-22,FRGUI,NA,1436.1,0,35797,35776,31.6228,,0,0,1,0,0
2011-018A,37398,*+,MERIDIAN 4,CIS,2011-05-04,PLMSC,NA,717.8,64.3,39270,1085,26.1127,,0,0,0,0,0
2011-019A,37481,*+,SBIRS GEO-1 (USA 230),US,2011-05-07,AFETR,NA,1436.1,2.4,35796,35777,19.9526,,0,0,1,0,0
2011-021A,37602,*+,TELSTAR 14R,CA,2011-05-20,TYMSC,NA,1436.1,0,35793,35781,12.5893,,0,0,1,0,0
2011-022A,37605,*+,GSAT-8,IND,2011-05-20,FRGUI,NA,1436.1,0,35818,35755,6.3096,,0,0,1,1,0
2011-022B,37606,*+,ST-2,STC,2011-05-20,FRGUI,NA,1436.1,0,35796,35777,5.6234,,0,0,1,0,0
2011-026A,37677,M*+,CHINASAT 10 (ZX 10),PRC,2011-06-20,XICLF,NA,1436.1,0.1,35806,35766,50.1187,,0,0,1,0,0
2011-030A,37730,*+,SJ-11-03,PRC,2011-07-06,JSC,NA,98.6,97.9,697,684,2.4000,,0,0,0,0,0
2011-032A,37737,*+,TIANLIAN 1-02,PRC,2011-07-11,XICLF,NA,1436.1,2.8,35853,35719,31.5254,,0,0,1,0,0
2011-033A,37739,*+,GLOBALSTAR M083,GLO,2011-07-13,TYMSC,NA,114.1,52,1414,1413,4.6744,,0,0,1,0,0
2011-033B,37740,*+,GLOBALSTAR M088,GLO,2011-07-13,TYMSC,NA,114.1,52,1414,1413,5.0376,,0,0,1,0,0
2011-033C,37741,*+,GLOBALSTAR M091,GLO,2011-07-13,TYMSC,NA,114.1,52,1414,1413,4.9320,,0,0,1,0,0
2011-033D,37742,*+,GLOBALSTAR M085,GLO,2011-07-13,TYMSC,NA,114.1,52,1414,1413,5.0038,,0,0,1,0,0
2011-033E,37743,*+,GLOBALSTAR M081,GLO,2011-07-13,TYMSC,NA,114.1,52,1414,1413,4.8600,,0,0,1,0,0
2011-033F,37744,*+,GLOBALSTAR M089,GLO,2011-07-13,TYMSC,NA,114.1,52,1414,1413,5.1557,,0,0,1,0,0
2011-034A,37746,*+,GSAT-12,IND,2011-07-15,SRILR,NA,1436.1,0.1,35804,35768,1.9953,,0,0,1,0,0
2011-035A,37748,*+,SES-3,US,2011-07-15,TYMSC,NA,1436.1,0,35795,35777,19.9526,,0,0,1,0,0
2011-035B,37749,*+,KAZSAT-2,KAZ,2011-07-15,TYMSC,NA,1436.1,0,35788,35784,7.0794,,0,0,1,0,0
2011-036A,37753,M*+,NAVSTAR 66 (USA 232),US,2011-07-16,AFETR,NA,718,56,20420,19944,12.5893,,1,0,0,1,0
2011-038A,37763,*+,BEIDOU 9,PRC,2011-07-26,XICLF,NA,1436.2,54.4,36060,35519,16.2984,,0,0,1,1,0
2011-039A,37765,*+,SJ-11-02,PRC,2011-07-29,JSC,NA,98.5,98.5,695,681,2.3311,,0,0,0,0,0
2011-041A,37775,*+,ASTRA 1N,SES,2011-08-06,FRGUI,NA,1436.1,0.1,35790,35783,7.9433,,0,0,1,0,0
2011-041B,37776,*B,BSAT-3C (JCSAT-110R),JPN,2011-08-06,FRGUI,NA,1436.1,0.1,35787,35786,23.5886,,0,0,1,0,0
2011-042A,37779,*+,PAKSAT-1R,PAK,2011-08-11,XICLF,NA,1436.1,0.1,35801,35772,14.6852,,0,0,1,0,0
2011-043A,37781,*+,HAIYANG-2A,PRC,2011-08-15,TAISC,NA,104.4,99.3,969,968,4.6290,,1,0,0,0,0
2011-044B,37789,*+,NIGERIASAT-2,NIG,2011-08-17,DLS,NA,98.5,97.9,693,679,0.4991,,0,0,0,0,0
2011-044C,37790,*+,NIGERIASAT-X,NIG,2011-08-17,DLS,NA,98.7,98,707,688,0.2080,,0,0,0,0,0
2011-044D,37791,*+,RASAT,TUR,2011-08-17,DLS,NA,98.3,98.1,693,663,0.5810,,1,0,0,0,0
2011-044E,37792,*+,APRIZESAT 5,US,2011-08-17,DLS,NA,97.6,98.4,684,604,0.1060,,0,1,0,0,0
2011-044F,37793,*+,APRIZESAT 6,US,2011-08-17,DLS,NA,97.8,98.4,686,621,0.1735,,0,1,0,0,0
2011-047A,37804,M*+,CHINASAT 1A (ZX 1A),PRC,2011-09-17,XICLF,NA,1436.1,0.1,35788,35784,25.1189,,0,0,1,0,0
2011-048A,37806,*+,COSMOS 2473,CIS,2011-09-20,TYMSC,NA,1436.1,0.1,35799,35774,23.1149,,0,0,1,0,0
2011-049A,37809,*+,SES-2,SES,2011-09-21,FRGUI,NA,1436.1,0,35798,35775,9.3468,,0,0,1,0,0
2011-049B,37810,*+,ARABSAT-5C,AB,2011-09-21,FRGUI,NA,1436.1,0.1,35802,35771,11.1480,,0,0,1,0,0
2011-051A,37816,M*+,EUTELSAT 7 WEST A,EUT,2011-09-24,SEAL,NA,1436.1,0.1,35817,35756,15.8489,,0,0,1,0,0
2011-052A,37818,*+,TACSAT 4,US,2011-09-27,KODAK,NA,238.9,63.2,12233,518,6.3594,,0,0,0,0,0
2011-054A,37826,*+,QUETZSAT 1,MEX,2011-09-29,TYMSC,NA,1436.1,0,35797,35775,219.4788,,0,0,1,0,0
2011-055A,37829,M*+,COSMOS 2474 [GLONASS-M],CIS,2011-10-02,PLMSC,NA,675.7,64.5,19151,19109,3.9811,,0,0,0,1,0
2011-056A,37834,*+,INTELSAT 18 (IS-18),ITS,2011-10-05,TYMSC,NA,1436.1,0,35796,35777,37.7529,,0,0,1,0,0
2011-057A,37836,M*+,EUTELSAT 16A,EUT,2011-10-07,XICLF,NA,1436.1,0.1,35806,35767,7.6593,,0,0,1,0,0
2011-058A,37838,*+,MEGHA-TROPIQUES,IND,2011-10-12,SRILR,NA,102.2,20,867,854,4.8139,,1,0,0,0,0
2011-058B,37839,*+,JUGNU,IND,2011-10-12,SRILR,NA,101.9,20,864,837,0.1464,,0,0,1,0,0
2011-058D,37841,*+,SRMSAT,IND,2011-10-12,SRILR,NA,102.1,20,866,849,0.2037,,1,0,1,0,0
2011-059A,37843,*+,VIASAT-1,US,2011-10-19,TYMSC,NA,1436.1,0,35797,35777,3.9811,,0,0,1,0,0
2011-060A,37846,M*+,GSAT0101 (GALILEO-PFM),ESA,2011-10-21,FRGUI,NA,844.7,56.5,23225,23219,12.6191,,1,0,0,1,0
2011-060B,37847,M*+,GSAT0102 (GALILEO-FM2),ESA,2011-10-21,FRGUI,NA,844.7,56.5,23230,23214,20.1111,,1,0,0,1,0
2011-061A,37849,*+,SUOMI NPP,US,2011-10-28,AFWTR,NA,101.4,98.7,827,826,5.7802,,1,0,0,0,0
2011-061F,37855,*+,M-CUBED & EXP-1 PRIME,US,2011-10-28,AFWTR,NA,95.6,101.7,669,430,0.0520,,0,0,1,0,1
2011-064A,37867,M*+,COSMOS 2476 [GLONASS-M],CIS,2011-11-04,TYMSC,NA,675.7,64.5,19176,19084,6.3096,,0,0,0,1,0
2011-064B,37868,M*+,COSMOS 2477 [GLONASS-M],CIS,2011-11-04,TYMSC,NA,675.7,64.5,19170,19090,5.5660,,0,0,0,1,0
2011-064C,37869,M*+,COSMOS 2475 [GLONASS-M],CIS,2011-11-04,TYMSC,NA,675.7,64.5,19180,19080,6.3096,,0,0,0,1,0
2011-066B,37875,*+,YAOGAN 12,PRC,2011-11-09,TAISC,NA,94.5,97.4,500,490,5.7479,,0,0,0,0,0
2011-068A,37930,*+,CHUANGXIN 1-03 (CX-1-03,PRC,2011-11-20,JSC,NA,100.7,98.6,804,781,0.6152,,0,0,0,0,0
2011-068B,37931,M*+,SHIYAN 4 (SY-4),PRC,2011-11-20,JSC,NA,100.7,98.6,803,782,1.1570,,0,0,0,0,0
2011-069A,37933,*+,ASIASAT 7,AC,2011-11-25,TYMSC,NA,1436.1,0,35792,35781,45.0715,,0,0,1,0,0
2011-072A,37941,*+,YAOGAN 13,PRC,2011-11-29,TAISC,NA,94.9,97.5,513,510,3.5715,,1,0,0,0,0
2011-073A,37948,*+,BEIDOU 10,PRC,2011-12-01,XICLF,NA,1436.2,52,36060,35515,12.5893,,0,0,1,1,0
2011-074B,37951,*+,LUCH 5A,CIS,2011-12-11,TYMSC,NA,1436.1,2.7,35799,35775,25.1189,,1,0,1,1,0
2011-076E,38011,*+,SSOT,CHL,2011-12-17,FRGUI,NA,97.2,97.9,624,622,0.7299,,0,0,0,0,0
2011-076F,38012,*+,PLEIADES 1A,FR,2011-12-17,FRGUI,NA,98.7,98.2,699,697,5.3462,,1,0,0,0,0
2011-077A,38014,*+,NIGCOMSAT 1R,NIG,2011-12-19,XICLF,NA,1436.1,0.1,35795,35778,18.4944,,0,0,1,0,0
2011-079A,38038,*+,ZIYUAN 1-02C (ZY 1-02C),PRC,2011-12-22,TAISC,NA,100.3,98.7,778,770,4.5644,,1,0,0,0,0
2011-080A,38040,*+,GLOBALSTAR M084,GLO,2011-12-28,TYMSC,NA,114.1,52,1414,1413,4.6037,,0,0,1,0,0
2011-080B,38041,*+,GLOBALSTAR M080,GLO,2011-12-28,TYMSC,NA,114.1,52,1414,1413,4.5491,,0,0,1,0,0
2011-080C,38042,*+,GLOBALSTAR M082,GLO,2011-12-28,TYMSC,NA,114.1,52,1414,1413,4.6934,,0,0,1,0,0
2011-080D,38043,*+,GLOBALSTAR M092,GLO,2011-12-28,TYMSC,NA,114.1,52,1414,1413,4.6670,,0,0,1,0,0
2011-080E,38044,*+,GLOBALSTAR M090,GLO,2011-12-28,TYMSC,NA,114.1,52,1414,1413,4.5480,,0,0,1,0,0
2011-080F,38045,*+,GLOBALSTAR M086,GLO,2011-12-28,TYMSC,NA,114.1,52,1415,1412,4.5242,,0,0,1,0,0
2012-001A,38046,*+,ZIYUAN 3 (ZY 3),PRC,2012-01-09,TAISC,NA,94.7,97.5,504,500,5.3150,,1,0,0,0,0
2012-002A,38049,*+,FENGYUN 2F,PRC,2012-01-13,XICLF,NA,1436,1.5,35789,35779,22.4645,,1,0,1,0,0
2012-003A,38070,M*+,WGS F4 (USA 233),US,2012-01-20,AFETR,NA,1436.1,0,35788,35785,15.8583,,0,0,1,0,0
2012-006A,38077,*+,LARES,IT,2012-02-13,FRGUI,NA,114.8,69.5,1452,1436,0.0379,,0,1,0,0,0
2012-007A,38087,*+,SES-4,SES,2012-02-14,TYMSC,NA,1436.1,0,35796,35777,63.3469,,0,0,1,0,0
2012-008A,38091,*+,BEIDOU 11,PRC,2012-02-24,XICLF,NA,1436.2,1.7,35810,35766,10.1705,,0,0,1,1,0
2012-009A,38093,*+,MUOS-1,US,2012-02-24,AFETR,NA,1436.1,2.6,36035,35537,39.8107,,0,0,1,0,0
2012-011A,38098,*+,INTELSAT 22 (IS-22),ITS,2012-03-25,TYMSC,NA,1436.1,0,35799,35774,0.0030,,0,0,1,0,0
2012-013A,38107,*+,APSTAR 7,PRC,2012-03-31,XICLF,NA,1436.1,0,35799,35774,0.0030,,0,0,1,0,0
2012-016A,38245,*+,YAHSAT 1B,UAE,2012-04-23,TYMSC,NA,1436.1,0,35794,35779,10.0000,,0,0,1,0,0
2012-018A,38250,*+,BEIDOU 12,PRC,2012-04-29,XICLF,NA,773.2,56.7,21593,21463,7.1433,,0,0,0,1,0
2012-018B,38251,*+,BEIDOU 13,PRC,2012-04-29,XICLF,NA,773.2,56.6,21606,21450,7.9433,,0,0,0,1,0
2012-019A,38254,*+,AEHF-2 (USA 235),US,2012-05-04,AFETR,NA,1436.1,1.7,35800,35771,11.3200,,0,0,1,0,0
2012-020A,38256,M*+,TIANHUI 1-02,PRC,2012-05-06,JSC,NA,94.5,97.4,508,484,2.9240,,0,0,0,0,0
2012-021A,38257,*+,YAOGAN 14,PRC,2012-05-10,TAISC,NA,94.5,97.4,496,494,5.4100,,0,0,0,0,0
2012-023A,38331,*+,JCSAT-13,JPN,2012-05-15,FRGUI,NA,1436.1,0,35796,35776,39.8107,,0,0,1,0,0
2012-023B,38332,*+,VINASAT-2,VTN,2012-05-15,FRGUI,NA,1436.2,0,35796,35780,26.4820,,0,0,1,0,0
2012-025A,38337,M*+,GCOM-W1 (SHIZUKU),JPN,2012-05-17,TANSC,NA,98.8,98.2,704,701,6.2395,,0,1,0,0,0
2012-025B,38338,M*+,ARIRANG-3 (KOMPSAT-3),SKO,2012-05-17,TANSC,NA,98.5,98.2,694,681,5.2590,,1,0,0,0,0
2012-025C,38339,M*+,SDS-4,JPN,2012-05-17,TANSC,NA,97.9,98.4,666,653,0.4474,,0,0,0,0,0
2012-026A,38342,*+,NIMIQ 6,CA,2012-05-17,TYMSC,NA,1436.1,0.1,35798,35775,14.0930,,0,0,1,0,0
2012-028A,38352,M*+,CHINASAT 2A (ZX 2A),PRC,2012-05-26,XICLF,NA,1436.1,0.1,35800,35774,19.9526,,0,0,1,0,0
2012-029A,38354,*+,YAOGAN 15,PRC,2012-05-29,TAISC,NA,109.2,100.5,1211,1172,3.0634,,0,0,0,0,0
2012-030A,38356,*+,INTELSAT 19 (IS-19),ITS,2012-06-01,SEAL,NA,1436.1,0,35799,35774,15.8188,,0,0,1,0,0
2012-031A,38358,*+,NUSTAR,US,2012-06-13,AFETR,NA,96.8,6,612,595,1.2619,,0,1,0,0,0
2012-035A,38551,*+,ECHOSTAR 17,US,2012-07-05,FRGUI,NA,1436.1,0,35795,35778,12.5893,,0,0,1,0,0
2012-035B,38552,*+,METEOSAT-10 (MSG-3),EUM,2012-07-05,FRGUI,NA,1436.1,1.1,35795,35778,4.3946,,1,0,1,0,0
2012-036A,38652,M*+,SES-5,SES,2012-07-09,TYMSC,NA,1436.1,0.1,35796,35778,37.7081,,0,0,1,1,0
2012-039A,38707,*+,KANOPUS-V 1,CIS,2012-07-22,TYMSC,NA,94.8,97.5,510,508,1.9000,,1,0,0,0,0
2012-039B,38708,*+,BKA 2,BEL,2012-07-22,TYMSC,NA,94.8,97.4,508,505,1.8553,,0,0,0,0,0
2012-039C,38709,*+,EXACTVIEW-1 (ADS-1B),CA,2012-07-22,TYMSC,NA,101.1,99.1,819,804,0.5530,,1,0,0,0,0
2012-039D,38710,*+,TET-1,GER,2012-07-22,TYMSC,NA,92.9,97.6,419,415,0.3903,,0,1,0,0,0
2012-039E,38711,M*+,MKA-PN 1,CIS,2012-07-22,TYMSC,NA,101.1,99.1,819,803,1.0842,,0,0,0,0,0
2012-040A,38730,*+,TIANLIAN 1-03,PRC,2012-07-25,XICLF,NA,1436,0,35797,35773,63.0957,,0,0,1,0,0
2012-041A,38733,*+,COSMOS 2481,CIS,2012-07-28,PLMSC,NA,115.9,82.5,1511,1482,0.9010,,0,0,0,0,0
2012-041B,38734,*+,GONETS-M 3,CIS,2012-07-28,PLMSC,NA,115.7,82.5,1499,1474,1.6600,,0,0,0,0,0
2012-041D,38736,M*+,GONETS-M 4,CIS,2012-07-28,PLMSC,NA,115.8,82.5,1510,1471,1.7040,,0,0,0,0,0
